,pays,année,kg de protéines
67,Chine - RAS de Hong-Kong,2019,148730.0
147,Islande,2019,148170.0
219,Norvège,2019,130130.0
149,Israël,2019,129680.0
145,Irlande,2019,125270.0
177,Lituanie,2019,124440.0
343,États-Unis d'Amérique,2019,123380.0
205,Monténégro,2019,122620.0
21,Australie,2019,122360.0
105,Finlande,2019,121840.0
73,"Chine, continentale",2019,120970.0
107,France,2019,120840.0
280,Serbie,2019,120290.0
243,Portugal,2019,119870.0
203,Mongolie,2019,118740.0
5,Albanie,2019,118390.0
69,Chine - RAS de Macao,2019,118270.0
99,Espagne,2019,116610.0
63,Canada,2019,116100.0
246,Qatar,2019,115990.0
151,Italie,2019,115630.0
17,Argentine,2019,114780.0
241,Pologne,2019,114750.0
274,Saint-Vincent-et-les Grenadines,2019,114360.0
179,Luxembourg,2019,113930.0
91,Danemark,2019,113790.0
299,Suède,2019,113270.0
109,Fédération de Russie,2019,111660.0
165,Koweït,2019,111370.0
9,Allemagne,2019,110910.0
101,Estonie,2019,110490.0
23,Autriche,2019,110260.0
248,Roumanie,2019,110070.0
159,Kazakhstan,2019,110010.0
53,Bélarus,2019,109970.0
41,Bosnie-Herzégovine,2019,109400.0
282,Seychelles,2019,109040.0
321,Turquie,2019,108960.0
28,Bahreïn,2019,108750.0
169,Lettonie,2019,108520.0
237,Pays-Bas (Royaume des),2019,108520.0
250,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2019,108470.0
119,Grèce,2019,107820.0
19,Arménie,2019,107630.0
32,Barbade,2019,107230.0
258,République de Corée,2019,106860.0
34,Belgique,2019,106380.0
75,Chypre,2019,105850.0
229,Ouzbékistan,2019,105290.0
288,Slovénie,2019,105120.0
65,Chili,2019,104520.0
85,Croatie,2019,102950.0
221,Nouvelle-Zélande,2019,102650.0
195,Maroc,2019,101960.0
45,Brésil,2019,101430.0
193,Malte,2019,101070.0
317,Tunisie,2019,100700.0
127,Guyana,2019,100010.0
325,Uruguay,2019,99980.0
295,Suisse,2019,99830.0
319,Turkménistan,2019,99250.0
201,Mexique,2019,98200.0
25,Azerbaïdjan,2019,97690.0
71,"Chine, Taiwan Province de",2019,96840.0
197,Maurice,2019,96750.0
209,Myanmar,2019,96450.0
233,Panama,2019,95970.0
7,Algérie,2019,95950.0
189,Maldives,2019,95390.0
307,Tchéquie,2019,95380.0
323,Ukraine,2019,94890.0
339,Émirats arabes unis,2019,94630.0
135,Hongrie,2019,94290.0
87,Cuba,2019,94140.0
95,Dominique,2019,93910.0
49,Burkina Faso,2019,93470.0
276,Sainte-Lucie,2019,93260.0
329,Viet Nam,2019,93190.0
260,République de Moldova,2019,93010.0
13,Antigua-et-Barbuda,2019,92830.0
337,Égypte,2019,92540.0
315,Trinité-et-Tobago,2019,92530.0
155,Japon,2019,91720.0
37,Bhoutan,2019,91300.0
153,Jamaïque,2019,91230.0
225,Oman,2019,90970.0
117,Grenade,2019,90680.0
181,Macédoine du Nord,2019,90500.0
185,Malaisie,2019,90300.0
15,Arabie saoudite,2019,90170.0
27,Bahamas,2019,90160.0
173,Libye,2019,89520.0
215,Niger,2019,88960.0
272,Saint-Kitts-et-Nevis,2019,88640.0
163,Kirghizistan,2019,88250.0
129,Géorgie,2019,88120.0
47,Bulgarie,2019,87980.0
245,Pérou,2019,87940.0
83,Costa Rica,2019,87810.0
199,Mauritanie,2019,87730.0
111,Gabon,2019,84780.0
97,El Salvador,2019,84740.0
303,Tadjikistan,2019,84030.0
141,Iran (République islamique d'),2019,82410.0
77,Colombie,2019,81380.0
171,Liban,2019,81340.0
39,Bolivie (État plurinational de),2019,80670.0
223,Népal,2019,80500.0
305,Tchad,2019,79720.0
36,Belize,2019,79610.0
3,Afrique du Sud,2019,79270.0
286,Slovaquie,2019,78860.0
57,Cabo Verde,2019,78660.0
345,Éthiopie,2019,77900.0
297,Suriname,2019,77600.0
262,République dominicaine,2019,77250.0
239,Philippines,2019,76820.0
266,République démocratique populaire lao,2019,76150.0
290,Soudan,2019,75740.0
191,Mali,2019,74990.0
235,Paraguay,2019,74520.0
139,Indonésie,2019,74240.0
291,Soudan du Sud,2019,74190.0
254,République arabe syrienne,2019,73670.0
293,Sri Lanka,2019,73280.0
93,Djibouti,2019,72980.0
61,Cameroun,2019,72870.0
143,Iraq,2019,71750.0
121,Guatemala,2019,70510.0
231,Pakistan,2019,69670.0
55,Bénin,2019,68990.0
213,Nicaragua,2019,68140.0
137,Inde,2019,67830.0
43,Botswana,2019,67370.0
211,Namibie,2019,67230.0
309,Thaïlande,2019,67050.0
301,Sénégal,2019,66830.0
157,Jordanie,2019,66620.0
341,Équateur,2019,66590.0
187,Malawi,2019,65840.0
59,Cambodge,2019,65110.0
115,Ghana,2019,64570.0
89,Côte d'Ivoire,2019,63330.0
30,Bangladesh,2019,62480.0
113,Gambie,2019,61810.0
133,Honduras,2019,61570.0
79,Comores,2019,61400.0
217,Nigéria,2019,61290.0
1,Afghanistan,2019,60960.0
161,Kenya,2019,60500.0
278,Sao Tomé-et-Principe,2019,59160.0
103,Eswatini,2019,59130.0
327,Venezuela (République bolivarienne du),2019,58160.0
268,République populaire démocratique de Corée,2019,58070.0
123,Guinée,2019,56820.0
252,Rwanda,2019,56750.0
270,République-Unie de Tanzanie,2019,56250.0
313,Togo,2019,55490.0
331,Yémen,2019,54840.0
335,Zimbabwe,2019,53940.0
311,Timor-Leste,2019,53650.0
284,Sierra Leone,2019,52960.0
81,Congo,2019,52020.0
256,République centrafricaine,2019,51750.0
167,Lesotho,2019,51730.0
11,Angola,2019,48700.0
227,Ouganda,2019,47670.0
131,Haïti,2019,47500.0
125,Guinée-Bissau,2019,47030.0
333,Zambie,2019,46660.0
175,Libéria,2019,44220.0
207,Mozambique,2019,43510.0
51,Burundi,2019,40870.0
183,Madagascar,2019,40000.0
264,République démocratique du Congo,2019,29400.0
146,Islande,2018,147180.0
66,Chine - RAS de Hong-Kong,2018,141880.0
148,Israël,2018,131090.0
218,Norvège,2018,129410.0
144,Irlande,2018,123720.0
68,Chine - RAS de Macao,2018,123030.0
204,Monténégro,2018,122630.0
104,Finlande,2018,122250.0
342,États-Unis d'Amérique,2018,121740.0
242,Portugal,2018,120830.0
72,"Chine, continentale",2018,119790.0
176,Lituanie,2018,119520.0
106,France,2018,119410.0
20,Australie,2018,118990.0
90,Danemark,2018,118930.0
279,Serbie,2018,117690.0
62,Canada,2018,117550.0
4,Albanie,2018,115280.0
98,Espagne,2018,115070.0
273,Saint-Vincent-et-les Grenadines,2018,114200.0
150,Italie,2018,114040.0
202,Mongolie,2018,113790.0
247,Roumanie,2018,113650.0
16,Argentine,2018,113160.0
240,Pologne,2018,112850.0
192,Malte,2018,112260.0
178,Luxembourg,2018,111820.0
8,Allemagne,2018,111370.0
249,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2018,111190.0
100,Estonie,2018,111120.0
118,Grèce,2018,110900.0
108,Fédération de Russie,2018,110590.0
22,Autriche,2018,110510.0
320,Turquie,2018,109720.0
158,Kazakhstan,2018,108690.0
40,Bosnie-Herzégovine,2018,108280.0
298,Suède,2018,107990.0
257,République de Corée,2018,107940.0
236,Pays-Bas (Royaume des),2018,107920.0
281,Seychelles,2018,106620.0
164,Koweït,2018,106280.0
18,Arménie,2018,106220.0
31,Barbade,2018,106000.0
168,Lettonie,2018,105210.0
275,Sainte-Lucie,2018,105080.0
44,Brésil,2018,105060.0
220,Nouvelle-Zélande,2018,104940.0
126,Guyana,2018,104790.0
64,Chili,2018,104420.0
194,Maroc,2018,103750.0
287,Slovénie,2018,103330.0
228,Ouzbékistan,2018,102220.0
318,Turkménistan,2018,101580.0
294,Suisse,2018,100520.0
33,Belgique,2018,100180.0
316,Tunisie,2018,100160.0
84,Croatie,2018,100130.0
52,Bélarus,2018,99820.0
188,Maldives,2018,99110.0
232,Panama,2018,98310.0
208,Myanmar,2018,97880.0
74,Chypre,2018,97860.0
200,Mexique,2018,97350.0
70,"Chine, Taiwan Province de",2018,96820.0
172,Libye,2018,96090.0
271,Saint-Kitts-et-Nevis,2018,95740.0
86,Cuba,2018,95530.0
306,Tchéquie,2018,95430.0
196,Maurice,2018,95290.0
324,Uruguay,2018,95170.0
12,Antigua-et-Barbuda,2018,94730.0
259,République de Moldova,2018,94580.0
6,Algérie,2018,94510.0
134,Hongrie,2018,93600.0
24,Azerbaïdjan,2018,93510.0
336,Égypte,2018,93310.0
322,Ukraine,2018,93100.0
338,Émirats arabes unis,2018,93070.0
184,Malaisie,2018,92250.0
314,Trinité-et-Tobago,2018,92090.0
26,Bahamas,2018,92010.0
328,Viet Nam,2018,91720.0
224,Oman,2018,91430.0
154,Japon,2018,91390.0
116,Grenade,2018,90470.0
94,Dominique,2018,90050.0
110,Gabon,2018,89990.0
214,Niger,2018,89700.0
162,Kirghizistan,2018,89550.0
152,Jamaïque,2018,89020.0
46,Bulgarie,2018,88690.0
180,Macédoine du Nord,2018,87910.0
198,Mauritanie,2018,86800.0
14,Arabie saoudite,2018,86380.0
244,Pérou,2018,85900.0
128,Géorgie,2018,84040.0
170,Liban,2018,83030.0
140,Iran (République islamique d'),2018,82670.0
82,Costa Rica,2018,82620.0
302,Tadjikistan,2018,82490.0
96,El Salvador,2018,80220.0
304,Tchad,2018,80100.0
76,Colombie,2018,80030.0
38,Bolivie (État plurinational de),2018,79610.0
35,Belize,2018,79590.0
2,Afrique du Sud,2018,79080.0
56,Cabo Verde,2018,78250.0
190,Mali,2018,78010.0
222,Népal,2018,77920.0
344,Éthiopie,2018,76860.0
265,République démocratique populaire lao,2018,76760.0
289,Soudan,2018,76080.0
261,République dominicaine,2018,75990.0
48,Burkina Faso,2018,75910.0
285,Slovaquie,2018,75190.0
292,Sri Lanka,2018,74760.0
296,Suriname,2018,74140.0
238,Philippines,2018,74030.0
60,Cameroun,2018,73560.0
234,Paraguay,2018,73490.0
92,Djibouti,2018,73280.0
253,République arabe syrienne,2018,73080.0
138,Indonésie,2018,72680.0
142,Iraq,2018,71420.0
156,Jordanie,2018,70510.0
210,Namibie,2018,70050.0
120,Guatemala,2018,69320.0
230,Pakistan,2018,69180.0
58,Cambodge,2018,68130.0
308,Thaïlande,2018,67520.0
42,Botswana,2018,66400.0
136,Inde,2018,66380.0
186,Malawi,2018,66300.0
300,Sénégal,2018,65910.0
212,Nicaragua,2018,65770.0
340,Équateur,2018,65720.0
54,Bénin,2018,65180.0
114,Ghana,2018,64120.0
29,Bangladesh,2018,63170.0
0,Afghanistan,2018,62920.0
216,Nigéria,2018,62610.0
78,Comores,2018,62200.0
88,Côte d'Ivoire,2018,62120.0
132,Honduras,2018,61760.0
160,Kenya,2018,59620.0
112,Gambie,2018,59610.0
102,Eswatini,2018,59270.0
251,Rwanda,2018,58230.0
269,République-Unie de Tanzanie,2018,57840.0
267,République populaire démocratique de Corée,2018,57580.0
166,Lesotho,2018,57260.0
277,Sao Tomé-et-Principe,2018,56420.0
122,Guinée,2018,55990.0
312,Togo,2018,54440.0
334,Zimbabwe,2018,54360.0
310,Timor-Leste,2018,53510.0
326,Venezuela (République bolivarienne du),2018,53420.0
80,Congo,2018,53330.0
332,Zambie,2018,52320.0
10,Angola,2018,52250.0
330,Yémen,2018,52240.0
283,Sierra Leone,2018,52230.0
255,République centrafricaine,2018,51010.0
130,Haïti,2018,50480.0
226,Ouganda,2018,48680.0
124,Guinée-Bissau,2018,46510.0
174,Libéria,2018,43800.0
182,Madagascar,2018,42100.0
206,Mozambique,2018,41990.0
50,Burundi,2018,38900.0
263,République démocratique du Congo,2018,29680.0
